Artist_Group,Artist,Title,QR_Code,Released,Record_Case
"Acker Bilk With The Leon Young String Chorale","Acker Bilk With The Leon Young String Chorale","Stranger On The Shore",https://www.discogs.com/release/759854,1961,"7"" - Retro - 01"
"Act 1","Act 1","Tom The Peeper",https://www.discogs.com/release/887668,1974,"7"" - Archive 01"
"Adam & The Ants","Adam And The Ants","Ant Rap",https://www.discogs.com/release/9910224,1981,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants",Antmusic,https://www.discogs.com/release/8298669,1980,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Deutscher Girls",https://www.discogs.com/release/533879,1982,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Dog Eat Dog",https://www.discogs.com/release/380526,1980,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Goody Two Shoes",https://www.discogs.com/release/1771998,1982,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Kings Of The Wild Frontier",https://www.discogs.com/release/4061861,1980,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Prince Charming",https://www.discogs.com/release/8970105,1981,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Stand & Deliver!",https://www.discogs.com/release/15358472,1981,"7"" - Playlist - 01"
"Adam & The Ants","Adam And The Ants","Young Parisians",https://www.discogs.com/release/380535,1978,"7"" - Playlist - 01"
"Adam & The Ants","Adam Ant","Apollo 9 (Blast Off Mix)",https://www.discogs.com/release/1592193,1984,"7"" - Playlist - 01"
"Adam & The Ants","Adam Ant","Friend Or Foe",https://www.discogs.com/release/14033040,1982,"7"" - Playlist - 01"
"Adam & The Ants","Adam Ant","Puss'N Boots",https://www.discogs.com/release/851613,1983,"7"" - Playlist - 01"
"Adam Faith","Adam Faith","Baby Take A Bow",https://www.discogs.com/release/491295,1962,"7"" - Archive 01"
"Adam Faith","Adam Faith","Lonely Pup (In A Christmas Shop)",https://www.discogs.com/release/14670786,1960,"7"" - Holiday"
"Adam Faith","Adam Faith","What Do You Want?",https://www.discogs.com/release/4077185,1960,"7"" - Retro - 01"
"Adam Faith With John Barry & His Orchestra","Adam Faith With John Barry & His Orchestra","As You Like It",https://www.discogs.com/release/541908,1962,"7"" - Archive 01"
"Adam Faith With The Roulettes","Adam Faith With The Roulettes","So Long Baby",https://www.discogs.com/release/13051919,1963,"7"" - Archive 01"
Adamski,Adamski,Killer,https://www.discogs.com/release/50490,1990,"7"" - Playlist - 01"
Adamski,Adamski,"The Space Jungle",https://www.discogs.com/release/102654,1990,"7"" - Archive 01"
Adeva,Adeva,"I Thank You",https://www.discogs.com/release/529273,1989,"7"" - Playlist - 01"
Adeva,Adeva,Warning!,https://www.discogs.com/release/1034206,1989,"7"" - Playlist - 01"
"Adrian Gurvitz","Adrian Gurvitz",Classic,https://www.discogs.com/release/476737,1982,"7"" - Archive 01"
Adventures,Adventures,"Broken Land",https://www.discogs.com/release/1415924,1988,"7"" - Archive 01"
"Adventures Of Stevie V.","Adventures Of Stevie V.","Dirty Cash (Money Talks)",https://www.discogs.com/release/616520,1990,"7"" - Archive 01"
Adverts,Adverts,"Gary Gilmore's Eyes / Bored Teenagers",https://www.discogs.com/release/668916,1977,"7"" - Playlist - 01"
Aerosmith,Aerosmith,"Dude (Looks Like A Lady)",https://www.discogs.com/release/1426236,1987,"7"" - Playlist - 01"
Aerosmith,Aerosmith,"Love In An Elevator",https://www.discogs.com/release/11078555,1989,"7"" - Playlist - 01"
"Afrika Bambaataa & Family Featuring UB40","Afrika Bambaataa & Family Featuring UB40",Reckless,https://www.discogs.com/release/184408,1988,"7"" - Archive 01"
"After The Fire","After The Fire","One Rule For You",https://www.discogs.com/release/4056726,1979,"7"" - Archive 01"
Aftershock,Aftershock,"Slave To The Vibe",https://www.discogs.com/release/641944,1993,"7"" - Archive 01"
"Agrupacion Folklorica Roque Nublo","Agrupacion Folklorica Roque Nublo","Pobre Rafael",https://www.discogs.com/release/5889735,1966,"7"" - Archive 01"
"Air Supply","Air Supply","All Out Of Love",https://www.discogs.com/release/1501383,1980,"7"" - Playlist - 01"
"Air Supply","Air Supply","Even The Nights Are Better",https://www.discogs.com/release/3499196,1982,"7"" - Archive 01"
"AJL Band","AJL Band","Get Me To The Disco",https://www.discogs.com/release/3217643,1977,"7"" - Archive 01"
"Al Green","Al Green","Sha-la-la (Make Me Happy)",https://www.discogs.com/release/3609524,1974,"7"" - Archive 01"
"Al Green","Al Green","Tired Of Being Alone",https://www.discogs.com/release/1512543,1971,"7"" - Archive 01"
"Al Hudson & The Partners","Al Hudson & The Partners","Dance Get Down (Feel The Groove)",https://www.discogs.com/release/945873,1978,"7"" - Archive 01"
"Al Jarreau","Al Jarreau","Love Is Waiting",https://www.discogs.com/release/3664078,1983,"7"" - Archive 01"
"Al Jarreau","Al Jarreau","Moonlighting Theme",https://www.discogs.com/release/1171786,1987,"7"" - Playlist - 01"
"Al Jarreau","Al Jarreau","Mornin'",https://www.discogs.com/release/1874891,1983,"7"" - Archive 01"
"Al Jarreau","Al Jarreau","Trouble In Paradise",https://www.discogs.com/release/1421996,1983,"7"" - Archive 01"
"Al Jarreau","Al Jarreau","We're In This Love Together",https://www.discogs.com/release/3351938,1981,"7"" - Archive 01"
"Al Martino","Al Martino","Spanish Eyes",https://www.discogs.com/release/2219908,"","7"" - Archive 01"
"Al Stewart","Al Stewart","Year Of The Cat",https://www.discogs.com/release/3196146,1976,"7"" - Playlist - 01"
"Alain Chamfort","Alain Chamfort","Manureva / Beguine",https://www.discogs.com/release/10619154,1980,"7"" - Archive 01"
"Alan Caddy Orchestra & Singers","Alan Caddy Orchestra & Singers","Pay Tribute To Cilla And Lulu",https://www.discogs.com/release/3444092,1971,"7"" - Archive 01"
"Alan Caddy Orchestra & Singers","Alan Caddy Orchestra & Singers","Pay Tribute To Simon & Garfunkel",https://www.discogs.com/release/3196473,1971,"7"" - Archive 01"
"Alan Caddy Orchestra & Singers","Alan Caddy Orchestra & Singers","Reggae Party",https://www.discogs.com/release/2387574,1972,"7"" - Archive 01"
"Alan Caddy Orchestra & Singers","Alan Caddy Orchestra & Singers","Six Top Hits",https://www.discogs.com/release/3977070,1970,"7"" - Archive 01"
"Alan Clyde","Alan Clyde","Anything Can Happen / I Wish It Was You",https://www.discogs.com/release/9500765,1986,"7"" - Archive 01"
"Alan Jay Lerner, Frederick Loewe - Al Goodman And His Orchestra","Alan Jay Lerner, Frederick Loewe - Al Goodman And His Orchestra",Gigi,https://www.discogs.com/release/11927297,1958,"7"" - Archive 01"
"Alan O'Day","Alan O'Day","Oh Johnny",https://www.discogs.com/release/7462343,1979,"7"" - Archive 01"
"Alan O'Day","Alan O'Day","Undercover Angel",https://www.discogs.com/release/14813614,1977,"7"" - Archive 01"
"Alan Parsons Project","Alan Parsons Project","Old And Wise",https://www.discogs.com/release/712873,1982,"7"" - Archive 01"
